Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,0.753198107,0.752211766,0.751235099,0.750009977,0.748794936,0.74759827,0.746430221,0.745497294,0.741872916,0.751346564,0.753366319,0.756802272,0.747084438,0.730970761,0.720991391,0.710218769,0.690725995,0.690725995
Albania,ALB,0.227384418,0.20524237,0.203946954,0.198537162,0.211881205,0.20223347,0.199573571,0.194456968,0.195045457,0.195303737,0.193310359,0.194403079,0.194415052,0.190439274,0.191097571,0.188800591,0.187343238,0.187343238
Algeria,DZA,0.342818296,0.339278822,0.335628769,0.331951475,0.328523818,0.324999099,0.322700227,0.32024299,0.318662241,0.317031587,0.315618764,0.314457491,0.313364633,0.312078771,0.310871916,0.309632326,0.3088893,0.3088893
Andorra,AND,0.204552375,0.202512376,0.200472375,0.199772375,0.197292375,0.198192375,0.197292375,0.186262372,0.175232375,0.175612376,0.175992372,0.176372375,0.171752375,0.167822374,0.163892375,0.163892375,0.163892375,0.163892375
Angola,AGO,0.662190949,0.659598739,0.667570131,0.657664761,0.649201404,0.64945876,0.652647731,0.653205397,0.641387164,0.641548441,0.639306687,0.630462457,0.615383416,0.600888907,0.583023425,0.568305087,0.566770513,0.566770513
Antigua and Barbuda,ATG,0.316745415,0.310649415,0.315833414,0.320578399,0.325323373,0.324884347,0.324445321,0.324006293,0.325968203,0.324006293,0.324006293,0.324006293,0.324006293,0.324006293,0.324006293,0.324006293,0.329531854,0.329531854
Argentina,ARG,0.272614723,0.270391667,0.268094118,0.265822873,0.264967706,0.264247682,0.263650214,0.262959889,0.262386806,0.261874569,0.260516738,0.260025236,0.259560158,0.258989843,0.258578091,0.258000746,0.257437132,0.257437132
Armenia,ARM,0.194963541,0.187635808,0.19234425,0.192443565,0.207241392,0.194375193,0.202401887,0.187297331,0.180126109,0.177535565,0.187852308,0.190105297,0.191638169,0.179343662,0.175418641,0.171401356,0.181656463,0.181656463
Australia,AUS,0.252351196,0.251459054,0.250054716,0.249487776,0.248424902,0.246020564,0.245064421,0.242037481,0.244533874,0.247201,0.249534793,0.252388847,0.244847061,0.237801212,0.230600887,0.220463544,0.219959479,0.219959479
Austria,AUT,0.137392992,0.135137819,0.132429801,0.129116091,0.12841295,0.126213875,0.123212628,0.122707317,0.121527208,0.118541137,0.116880268,0.114044579,0.111127044,0.097542842,0.092870103,0.086693302,0.084530701,0.084530701
Azerbaijan,AZE,0.181330083,0.179240601,0.177238432,0.178465059,0.176856179,0.1800174,0.179253202,0.173615139,0.170988455,0.168264689,0.165350988,0.163948401,0.160475993,0.159357514,0.158605367,0.158422494,0.173301029,0.173301029
Bahamas,BHS,0.276442452,0.274830831,0.276635959,0.278478524,0.275003765,0.271515216,0.26831183,0.264637075,0.260872614,0.257028438,0.253175203,0.24939555,0.246022338,0.24279945,0.241870563,0.241056879,0.240289724,0.240289724
Bahrain,BHR,0.198574758,0.198076451,0.197578144,0.195104879,0.19264829,0.190190806,0.18777376,0.189640293,0.191483749,0.193346263,0.171173385,0.169949351,0.168714097,0.202265998,0.20100172,0.199727848,0.199286385,0.199286385
Bangladesh,BGD,0.519643046,0.510028191,0.502797205,0.494001432,0.485580511,0.477119566,0.472379093,0.46752297,0.463113618,0.457684876,0.450529861,0.444994219,0.440965779,0.433493168,0.4319674,0.427595004,0.425294975,0.425294975
Barbados,BRB,0.270683705,0.270332377,0.269756729,0.269121368,0.268511989,0.265175707,0.262906693,0.259420991,0.24977986,0.249229437,0.245196181,0.244817825,0.244470673,0.246237445,0.246394599,0.244382506,0.244635161,0.244635161
Belarus,BLR,0.241683891,0.239409706,0.238816309,0.238069583,0.23814657,0.234413506,0.236880724,0.237872125,0.23573617,0.2332923,0.232744398,0.22957539,0.225187001,0.221627914,0.219099282,0.216898575,0.25190283,0.25190283
Belgium,BEL,0.089355903,0.086853276,0.08489455,0.084539077,0.082703929,0.081015122,0.080165617,0.079812046,0.131255434,0.131850813,0.125215578,0.116164377,0.113858852,0.115470792,0.11521195,0.116258602,0.051744123,0.051744123
Belize,BLZ,0.315440981,0.319267845,0.318446589,0.315328225,0.315628948,0.312253337,0.308975083,0.306246162,0.307118657,0.305315812,0.300581716,0.30111499,0.303074572,0.29948669,0.291568202,0.297231704,0.295153787,0.295153787
Benin,BEN,0.644243976,0.627118619,0.629069842,0.614099051,0.603398729,0.601670323,0.594753851,0.591228578,0.580295804,0.574599503,0.574138113,0.568148508,0.558060604,0.561429319,0.555471109,0.563159065,0.564820309,0.564820309
Bhutan,BTN,0.570704681,0.601798117,0.585485383,0.564111572,0.547152571,0.522598782,0.511750362,0.5151889,0.485967888,0.472140043,0.464406695,0.450722776,0.460554699,0.466830262,0.438373516,0.441966687,0.447156028,0.447156028
Bolivia,BOL,0.435227658,0.420893213,0.413189803,0.406080892,0.400734766,0.39660537,0.39488899,0.390843245,0.391124556,0.391391177,0.384445591,0.381576123,0.377121557,0.370010709,0.365888226,0.359437144,0.360089834,0.360089834
Bosnia and Herzegovina,BIH,0.198923199,0.192378829,0.221506326,0.198933504,0.182758581,0.191969275,0.180368576,0.17972816,0.179767678,0.178639641,0.176447152,0.175176598,0.17508425,0.172309246,0.169771774,0.168234678,0.169512898,0.169512898
Botswana,BWA,0.501330869,0.50802149,0.515708089,0.523859784,0.530673975,0.536461362,0.538114088,0.53844478,0.540728718,0.536649451,0.536360802,0.52731565,0.522400809,0.527685935,0.530021207,0.516414412,0.51867298,0.51867298
Brazil,BRA,0.289322414,0.288461657,0.285812637,0.283684335,0.2816472,0.283437696,0.281691307,0.280062896,0.278104014,0.277270406,0.27478806,0.27340013,0.247736494,0.246240718,0.244927223,0.243652933,0.242662,0.242662
Brunei Darussalam,BRN,0.324117746,0.323111772,0.321577587,0.320048442,0.318530924,0.317039992,0.315335057,0.313684836,0.313681475,0.313737866,0.313847184,0.313986992,0.314154931,0.31434116,0.307066713,0.299797388,0.29935373,0.29935373
Bulgaria,BGR,0.163802606,0.165626696,0.166699427,0.164206548,0.163491718,0.165962626,0.164900114,0.162977719,0.160527844,0.156593527,0.156029041,0.155675242,0.15443813,0.153564517,0.151278304,0.150154688,0.147983957,0.147983957
Burkina Faso,BFA,0.650476648,0.643757114,0.631690036,0.619662827,0.611277887,0.60947679,0.602113326,0.598725897,0.602485132,0.606693801,0.615068002,0.600038983,0.593264145,0.586551918,0.576488999,0.588604196,0.5957438,0.5957438
Burundi,BDI,0.720851417,0.733322994,0.734143356,0.734430964,0.733206384,0.725996934,0.72071705,0.71879749,0.725590166,0.735273206,0.732566856,0.728567553,0.724902928,0.711734249,0.726184934,0.715503592,0.723920287,0.723920287
Cambodia,KHM,0.687373169,0.68889982,0.666727737,0.638403231,0.613350693,0.593417541,0.587643637,0.576232536,0.569521077,0.564064346,0.567412451,0.569507286,0.567612091,0.555298066,0.549411973,0.545691581,0.537047461,0.537047461
Cameroon,CMR,0.628356584,0.623739004,0.622439938,0.621201545,0.617895502,0.619204735,0.619840756,0.620628421,0.620860238,0.619387012,0.618162618,0.617173305,0.617008114,0.613597671,0.610770106,0.609717386,0.603454429,0.603454429
Canada,CAN,0.268852952,0.267996042,0.267148888,0.266528564,0.265779784,0.264587101,0.26380686,0.263522554,0.262750443,0.262629693,0.263013007,0.262690941,0.261762425,0.26083391,0.261236012,0.260174375,0.259736245,0.259736245
Cape Verde,CPV,0.385851071,0.377856665,0.382042125,0.379002794,0.375518085,0.379026316,0.376750288,0.371998857,0.357649808,0.372979731,0.361191944,0.365587898,0.357777879,0.330401712,0.328679569,0.342318318,0.356810249,0.356810249
Central African Republic,CAF,0.708693583,0.720473828,0.700187378,0.713989293,0.736162357,0.733912552,0.727963609,0.729953001,0.735666211,0.725298972,0.756305516,0.74303512,0.756372442,0.729366779,0.771494059,0.727588667,0.742102289,0.742102289
Chad,TCD,0.687420863,0.682585415,0.670568712,0.68570062,0.689182507,0.695554024,0.696724826,0.679062475,0.69202151,0.679987934,0.677453323,0.683436162,0.671807761,0.668376404,0.670380481,0.665285725,0.676205274,0.676205274
Chile,CHL,0.268261204,0.266385022,0.263682278,0.261571878,0.260123962,0.258603851,0.257380931,0.256232358,0.25529549,0.254227071,0.25323798,0.25242551,0.253508518,0.254803608,0.256012664,0.255541368,0.255102569,0.255102569
China,CHN,0.349947045,0.348626086,0.347290336,0.346014062,0.344192544,0.34347128,0.350256324,0.341525814,0.343694517,0.341585312,0.339555783,0.338210373,0.3370015,0.33573588,0.334373026,0.333152641,0.326537026,0.326537026
Colombia,COL,0.310547028,0.308234609,0.305465546,0.302533116,0.30356828,0.299002971,0.296690928,0.294577172,0.295000459,0.292865093,0.290438625,0.288330658,0.286727429,0.284713774,0.292103545,0.299583038,0.299075922,0.299075922
Comoros,COM,0.541682425,0.536139293,0.534805999,0.528591447,0.525251029,0.513597104,0.508886146,0.516881995,0.541270362,0.53296387,0.507061173,0.488767454,0.47956666,0.474273602,0.476873086,0.480966885,0.521643622,0.521643622
Congo,COG,0.579105879,0.580476554,0.582882714,0.584925623,0.586777396,0.587561462,0.586890437,0.586870481,0.586462041,0.592121016,0.591803405,0.587739809,0.587702873,0.583710342,0.586678281,0.577198207,0.586790374,0.586790374
Congo :DRC,COD,0.697875095,0.693930586,0.703034588,0.697951046,0.695743291,0.693898761,0.694322086,0.699103661,0.718727247,0.72065553,0.719531659,0.741882658,0.724722258,0.729501978,0.722214842,0.706817446,0.703190288,0.703190288
Costa Rica,CRI,0.256621653,0.257329659,0.257718072,0.255088598,0.24321801,0.247806075,0.248704996,0.247419289,0.245654191,0.244937937,0.243496105,0.242666089,0.242092668,0.241395954,0.240786382,0.24089466,0.240896944,0.240896944
Cote d'Ivoire,CIV,0.647168631,0.644156171,0.638352497,0.63216326,0.627265897,0.624415497,0.618927998,0.620707207,0.620221151,0.606679797,0.601953205,0.594144138,0.585671348,0.581193101,0.581726719,0.571424111,0.573940624,0.573940624
Croatia,HRV,0.169017831,0.166185451,0.165660827,0.165580446,0.163519083,0.1623502,0.156810381,0.155958094,0.154910558,0.152605997,0.152139639,0.150755817,0.148751802,0.147229833,0.146177487,0.144983834,0.143645417,0.143645417
Cuba,CUB,0.267218914,0.265507843,0.263801153,0.260336394,0.25730754,0.253817858,0.253194532,0.252052991,0.24823389,0.244790964,0.240605951,0.236378691,0.232433318,0.229315536,0.226082147,0.22296123,0.222737663,0.222737663
Cyprus,CYP,0.158331122,0.157752208,0.159095599,0.160449303,0.161806169,0.149749527,0.156247995,0.159806121,0.159195528,0.158779598,0.15844992,0.155972819,0.152494218,0.148967642,0.146724648,0.144455148,0.143846937,0.143846937
Czech Republic,CZE,0.133399623,0.131242539,0.129517162,0.128526745,0.126656653,0.121632089,0.120958083,0.11947107,0.119650723,0.11746669,0.116445259,0.114075885,0.112835399,0.114477516,0.112785569,0.11028061,0.108784675,0.108784675
